Filename,Right Ascension,Declination,Catalogue Peak,Unseen,Estimated Peak,Estimation Error (95%)
1RXS_J054656.9-220500,86.7333,-22.0817,0.00,False,16.66,1.81
1RXS_J055717.0-061705,89.32011999999999,-6.28519,0.00,False,17.3,0.84
1RXS_J060432.7-485007,91.13788000000001,-48.8299,12.73,False,13.11,1.39
1RXS_J060714.2-251855,91.8096,-25.3161,0.00,False,17.22,0.88
1RXS_J061609.5-173313,94.04288000000001,-17.55153,17.52,False,17.05,0.81
1RXS_J062150.0-341140,95.4567,-34.1969,17.84,False,17.38,0.72
1RXS_J062422.3-294449,96.09291,-29.746940000000002,16.52,False,16.83,0.86
1RXS_J062635.9-425810,96.65293,-42.968340000000005,15.48,False,15.74,0.64
1RXS_J064444.2-285120,101.18235,-28.854640000000003,0.00,False,16.06,0.86
1RXS_J064814.1+160708,102.05821,16.11574,0.00,False,16.62,0.97
1RXS_J064850.3-694519,102.21037,-69.75628,16.65,False,17.2,0.79
1RXS_J064933.8-313914,102.38999,-31.65563,0.00,False,17.0,0.91
1RXS_J065201.0-480858,103.00237,-48.149809999999995,15.86,False,15.98,1.03
1RXS_J065933.5-674356,104.88717,-67.73058,16.52,False,17.19,0.8
1RXS_J070132.1+250950,105.38375,25.16403,0.00,False,16.58,0.83
1RXS_J070312.7-391417,105.80268000000001,-39.23858,13.89,False,14.42,0.61
1RXS_J071430.6+110713,108.56912,11.141689999999999,0.00,True,14.35,0.85
1RXS_J071745.4-552024,109.43775,-55.33944,15.55,False,15.62,0.84
1RXS_J071910.3-705411,109.78586999999999,-70.90097,0.00,False,16.14,0.64
1RXS_J071939.2-401153,109.91326000000001,-40.1965,0.00,True,14.98,1.21
1RXS_J072114.5-022047,110.30791,-2.34861,0.00,False,17.33,0.75
1RXS_J072259.5-073131,110.74868000000001,-7.526339999999999,16.47,False,16.02,1.17
1RXS_J073026.0+330727,112.6086,33.12303,15.31,False,15.75,0.73
1RXS_J073928.1-672147,114.86708,-67.36305,0.00,False,16.25,0.96
1RXS_J080017.3+561116,120.06468999999998,56.18536999999999,0.00,False,15.17,0.59
1RXS_J080458.3-062432,121.24058000000001,-6.40728,0.00,False,16.24,0.74
1RXS_J081407.6+692549,123.53166,69.43042,0.00,True,16.49,1.05
1RXS_J082021.9-280206,125.09143,-28.033079999999998,0.00,False,16.79,0.87
1RXS_J082316.0-632928,125.81079,-63.491719999999994,0.00,False,16.15,0.68
1RXS_J083014.6-094455,127.56308,-9.74883,16.58,False,17.57,0.73
1RXS_J085916.5+834450,134.7921,83.7511,15.06,False,16.89,0.82
1RXS_J085930.5+621737,134.87767,62.29178,14.84,False,15.79,1.49
1RXS_J090140.8+671158,135.42,67.19958000000001,0.00,False,15.71,0.82
1RXS_J091324.6+813318,138.33501,81.5517,0.00,False,17.04,0.83
1RXS_J091407.9-015949,138.53441999999998,-1.9958599999999997,0.00,False,16.52,0.79
1RXS_J091926.5-220052,139.8593,-22.011860000000002,15.50,False,15.56,0.79
1RXS_J092837.8+404858,142.15596000000002,40.81258,14.80,False,15.45,0.76
1RXS_J093850.5-640334,144.71804,-64.04784000000001,0.00,True,14.59,1.65
1RXS_J094237.9-202720,145.65761,-20.45368,15.15,False,16.02,0.83
1RXS_J094620.5+010459,146.58424,1.08114,17.79,False,17.49,0.77
1RXS_J094709.2-254056,146.78968999999998,-25.68334,0.00,False,15.8,0.72
1RXS_J095508.2+355054,148.78284,35.85024,14.70,False,17.47,0.82
1RXS_J095627.2-095720,149.11754,-9.95531,16.64,False,17.0,0.84
1RXS_J095806.4-031729,149.52496000000002,-3.2945,0.00,False,16.46,0.79
1RXS_J095812.8-675241,149.55442,-67.87847,16.00,False,16.24,0.95
1RXS_J100235.8+221609,150.6434,22.2708,15.53,False,17.03,0.79
1RXS_J100342.0-213752,150.92868,-21.635939999999998,0.00,False,16.39,0.91
1RXS_J101015.9-311909,152.56658000000002,-31.319000000000003,16.58,False,17.24,0.99
1RXS_J101647.6+770239,154.19833,77.0443,0.00,False,16.68,0.89
1RXS_J102658.5-174905,156.74408,-17.81635,15.65,False,15.54,0.55
1RXS_J103657.5-195432,159.23317,-19.90664,15.50,False,15.95,1.03
1RXS_J104057.7+134216,160.24036999999998,13.70325,0.00,False,16.53,1.53
1RXS_J104204.1-412936,160.51258,-41.4916,15.25,False,15.3,0.58
1RXS_J111157.8+485725,167.9958,48.9503,14.32,False,16.22,0.86
1RXS_J111224.2+175131,168.10249,17.85606,16.58,False,16.81,0.85
1RXS_J111941.0-304652,169.9146,-30.7889,0.00,False,17.24,0.93
1RXS_J112041.6+071335,170.17332,7.226389999999999,0.00,True,13.54,2.54
1RXS_J112318.0-323219,170.82521,-32.538470000000004,16.85,False,16.48,0.86
1RXS_J112551.6-074219,171.46655,-7.705889999999999,15.48,False,15.53,0.66
1RXS_J113104.6-094353,172.77186,-9.73514,16.14,False,16.36,0.74
1RXS_J113117.8+580911,172.82762,58.14966,14.15,False,14.52,0.61
1RXS_J113209.3-473844,173.03859,-47.648140000000005,16.13,False,17.19,0.94
1RXS_J113443.6-172853,173.68538999999998,-17.4839,0.00,False,17.04,0.89
1RXS_J114118.3+680433,175.32717,68.07499,0.00,False,14.63,1.51
1RXS_J114142.2-140757,175.4242,-14.131870000000001,16.28,False,16.28,0.98
1RXS_J115404.9-001008,178.51898,-0.16940999999999998,16.42,False,16.44,0.93
1RXS_J120413.0+114549,181.05048,11.765369999999999,0.00,False,16.89,0.93
1RXS_J120417.0-070959,181.06944,-7.169169999999999,14.98,False,15.17,0.47
1RXS_J120722.5-052442,181.84375,-5.41167,0.00,True,15.33,1.95
1RXS_J121240.3-140141,183.16791,-14.028189999999999,0.00,True,16.33,0.93
1RXS_J121301.8+512942,183.25337,51.49324,14.40,False,15.97,1.7
1RXS_J121603.6-024302,184.01363,-2.71825,0.00,False,14.93,0.64
1RXS_J121946.0-031419,184.94047,-3.24,14.36,False,15.29,0.53
1RXS_J122525.2-155251,186.35538,-15.888060000000001,15.59,False,16.23,0.77
1RXS_J122534.0-344737,186.40341,-34.78938,15.93,False,16.66,0.81
1RXS_J122645.2+063906,186.68425,6.64814,15.85,False,15.58,0.62
1RXS_J124231.4+763419,190.6333,76.5733,17.48,False,16.38,0.72
1RXS_J124510.5+571020,191.29166,57.1651,14.90,False,14.25,1.3
1RXS_J125117.4+103914,192.82452,10.65203,15.31,False,15.76,0.75
1RXS_J125341.2-393200,193.4212,-39.5331,17.02,False,17.36,1.18
1RXS_J125400.1+624303,193.49713,62.716,13.96,False,15.74,1.35
1RXS_J125847.7-044746,194.70016,-4.79586,0.00,False,17.37,0.74
1RXS_J130421.2-435308,196.08753000000002,-43.88616,15.45,False,15.13,0.42
1RXS_J130737.8-425940,196.90827,-42.99416,15.92,False,15.78,0.67
1RXS_J131531.9+113327,198.8859,11.5588,16.88,False,17.0,0.82
1RXS_J132542.1-022800,201.42462,-2.46942,0.00,False,17.38,0.74
1RXS_J133021.4+444117,202.58969,44.688959999999994,15.35,False,15.6,0.81
1RXS_J134853.8+075704,207.22253,7.94658,15.71,False,16.25,0.79
1RXS_J135341.1-664002,208.41726,-66.66601999999999,15.70,False,16.94,1.03
1RXS_J140630.3-393508,211.6254,-39.5858,14.19,False,17.33,0.83
1RXS_J141901.8+773229,214.75148,77.54148,16.25,False,16.09,0.9
1RXS_J142844.4-101801,217.185,-10.30028,0.00,True,16.5,0.95
1RXS_J143343.2-730433,218.42816000000002,-73.07725,14.44,False,17.65,1.01
1RXS_J143442.0+664031,218.67274,66.67403,14.64,False,15.68,0.83
1RXS_J143949.8-395524,219.9619,-39.92184,15.65,False,16.13,0.85
1RXS_J144037.4-384658,220.1576,-38.78195,16.82,False,17.21,0.95
1RXS_J144942.2-091018,222.42455,-9.166780000000001,0.00,False,15.95,0.83
1RXS_J150537.1-824233,226.35613999999998,-82.70863,16.31,False,17.1,0.93
1RXS_J151026.3+795946,227.63638999999998,80.00148,13.32,False,13.92,0.95
1RXS_J151213.1-225515,228.05315,-22.91902,0.00,False,15.52,0.6
1RXS_J151448.8-772249,228.70334,-77.38029,0.00,False,16.66,1.02
1RXS_J151959.7-090434,229.99618999999998,-9.07392,13.95,False,13.35,1.01
1RXS_J153148.8+465912,232.9158,47.1181,14.72,False,15.21,0.69
1RXS_J153757.1-134334,234.48792999999998,-13.72625,0.00,True,16.69,0.96
1RXS_J154439.4-112820,236.16417,-11.47236,0.00,True,13.14,2.45
1RXS_J154711.8-280222,236.80056000000002,-28.03933,15.65,False,15.89,1.03
1RXS_J155333.4-311841,238.38977000000003,-31.308729999999997,15.35,False,15.45,0.62
1RXS_J160452.5-341407,241.21873,-34.235279999999996,0.00,True,16.06,1.12
1RXS_J160709.7+592115,241.78394,59.35803000000001,14.98,False,14.94,1.35
1RXS_J161443.4-085130,243.68329,-8.85572,16.04,False,16.28,0.77
1RXS_J162725.1-330322,246.85457000000002,-33.05625,0.00,True,13.17,1.93
1RXS_J163213.2+580109,248.05768999999998,58.01458,15.44,False,15.66,0.81
1RXS_J163711.1+432548,249.28961,43.43343,15.04,False,15.52,1.07
1RXS_J163717.1+131418,249.26592000000002,13.21925,14.60,False,15.73,1.61
1RXS_J164220.4+221132,250.58459,22.1953,15.34,False,16.41,0.82
1RXS_J164602.3-094113,251.50957999999997,-9.68708,0.00,True,13.19,2.36
1RXS_J165053.5+043009,252.72293,4.50264,0.00,True,15.41,2.24
1RXS_J165655.0-201049,254.22977999999998,-20.18232,0.00,False,16.01,0.73
1RXS_J170548.1-742240,256.45044,-74.37778,0.00,True,16.96,0.83
1RXS_J171405.2-202747,258.52266000000003,-20.4637,16.30,False,17.06,0.84
1RXS_J171643.8+884414,258.97208,88.73759,14.23,False,16.19,0.9
1RXS_J171712.6-811501,259.29785,-81.25265999999999,13.04,False,16.0,1.29
1RXS_J173553.1-593205,264.33197,-59.36164,0.00,True,13.54,2.66
1RXS_J174420.1+185215,266.08249,18.87167,16.25,False,15.89,0.86
1RXS_J174459.5-172640,266.24914,-17.443479999999997,0.00,False,16.5,0.78
1RXS_J180847.3+241923,272.19037000000003,24.31825,15.40,False,17.0,0.93
1RXS_J182418.7+430954,276.07935,43.16372,17.55,False,17.56,0.73
1RXS_J182724.8-402904,276.85332999999997,-40.48444,0.00,True,13.41,2.4
1RXS_J182853.8-241746,277.22879,-24.29344,0.00,False,14.98,2.37
1RXS_J183202.2+382132,278.00408999999996,38.360279999999996,0.00,False,15.47,1.32
1RXS_J184230.6-584202,280.6275,-58.7007,0.00,False,17.18,0.89
1RXS_J184919.7-164726,282.33111,-16.78995,15.80,False,16.83,0.88
1RXS_J184924.8-644933,282.35332999999997,-64.82597,0.00,True,16.94,1.25
1RXS_J191251.7-124929,288.21542,-12.824860000000001,0.00,False,15.3,2.94
1RXS_J191401.9+443849,288.50784,44.64228,15.65,False,15.64,0.84
1RXS_J191810.2+375315,289.54016,37.88697,16.08,False,16.33,0.93
1RXS_J192244.1-74541,290.67593999999997,-74.89907,15.90,False,16.4,0.84
1RXS_J192325.9-250228,290.85791,-25.04111,0.00,False,17.0,0.91
1RXS_J193320.3+072616,293.33459,7.4394100000000005,16.04,False,16.51,1.31
1RXS_J194306.8-351001,295.77794,-35.16856,13.90,False,15.53,2.07
1RXS_J194422.6-452326,296.09327,-45.3924,0.00,False,16.21,0.72
1RXS_J194455.3-214318,296.22986000000003,-21.72203,0.00,False,16.47,1.2
1RXS_J194934.1+090655,297.39249,9.11486,15.60,False,15.36,0.62
1RXS_J195500.6-160328,298.75277,-16.06079,15.85,False,17.02,1.12
1RXS_J195503.1-564031,298.76192000000003,-56.67466999999999,15.90,False,15.8,0.59
1RXS_J195815.6-301119,299.56212999999997,-30.18657,0.00,False,17.12,1.02
1RXS_J195945.8-472531,299.94027,-47.42204,15.35,False,15.32,0.48
1RXS_J200205.7-573644,300.51743,-57.61258,0.00,False,15.67,0.84
1RXS_J200245.4+630226,300.68908999999996,63.04258000000001,16.34,False,16.65,0.84
1RXS_J200504.0+700445,301.27506,70.0776,16.76,False,17.06,0.96
1RXS_J201604.8-233049,304.01999,-23.51361,0.00,True,14.56,2.88
1RXS_J201731.2-411452,304.37482,-41.2544,16.14,False,16.27,0.88
1RXS_J202204.8-722538,305.51999,-72.42736,0.00,False,16.28,1.32
1RXS_J202428.9-084810,306.12237000000005,-8.80123,14.57,False,16.01,0.73
1RXS_J202633.4+764432,306.6283,76.74675,14.53,False,17.29,0.82
1RXS_J203650.9-332817,309.20621,-33.475190000000005,14.93,False,16.74,0.81
1RXS_J204921.6-003930,312.34058,-0.6573899999999999,0.00,False,16.32,0.86
1RXS_J205528.2-002123,313.86762999999996,-0.35477,17.66,False,17.64,0.81
1RXS_J210346.8-111335,315.94501,-11.226389999999999,0.00,True,14.02,2.54
1RXS_J210959.5-861853,317.54657000000003,-86.31322,15.35,False,15.81,0.77
1RXS_J211242.5+081831,318.17919,8.30979,16.00,False,16.07,0.97
1RXS_J212728.9-600049,321.87039,-60.01375,0.00,True,16.18,1.74
1RXS_J213852.9-205354,324.71982,-20.89659,0.00,False,17.26,0.8
1RXS_J220708.5+360935,331.78542999999996,36.15972,0.00,False,17.6,0.72
1RXS_J221058.3+320327,332.74292,32.0575,0.00,False,15.91,1.34
1RXS_J222426.5+035445,336.10409,3.91623,15.88,False,14.12,0.82
1RXS_J223249.5-202232,338.20333999999997,-20.37395,0.00,False,17.11,0.91
1RXS_J224014.7-124736,340.06125,-12.79347,0.00,True,16.4,1.01
1RXS_J224123.5+294244,340.34792999999996,29.712359999999997,0.00,False,16.58,0.81
1RXS_J225146.9-320614,342.94802999999996,-32.10355,18.32,False,17.72,0.69
1RXS_J230437.1+370506,346.15297999999996,37.0854,16.42,False,16.41,0.8
1RXS_J230722.5-120520,346.84206,-12.088239999999999,15.90,False,16.05,0.79
1RXS_J230940.6-363241,347.42019,-36.5469,15.86,False,15.76,0.61
1RXS_J231733.0-453348,349.38329,-45.56658,15.37,False,15.11,0.83
1RXS_J233919.8-740439,354.83704,-74.07664,17.62,False,16.72,0.96
1RXS_J234051.4+801513,355.22595,80.25445,15.45,False,15.18,0.72
1RXS_J234332.5+343957,355.88993999999997,34.66415,17.60,False,17.5,0.76
1RXS_J234354.4+054713,355.98349,5.7841,15.04,False,14.4,0.69
1RXS_J235836.3-180701,359.65351,-18.12153,15.35,False,15.62,0.64
1RXS_J235916.9+021505,359.82101,2.25564,13.16,False,16.15,0.87
1SXPS_J043949.5-190102,69.95721999999999,-19.01706,0.00,True,14.79,0.99
1WGA_J0506.6-0857,76.66629,-8.96717,14.93,False,14.39,0.73
1WGA_J0546.9-2204,86.7333,-22.0817,0.00,False,16.66,1.81
1WGA_J1328.6-4727,202.16926999999998,-47.46374,15.60,False,15.53,0.61
1WGA_J2354.0-0957,358.5231,-9.96362,12.88,False,12.61,0.82
2E_0336.0-2453,54.5521,-24.7306,16.03,False,16.41,0.79
2E_1326.1+1200,202.13983000000002,11.75569,16.94,False,17.4,0.79
2MASS_J00000839-3738208,0.03506,-37.63908,12.77,False,16.95,1.75
2MASS_J00013275-4155252,0.38648000000000005,-41.92371,15.86,False,15.88,0.54
2MASS_J00205023+0323578,5.20936,3.3994699999999995,0.00,False,15.03,1.41
2MASS_J00302045-1647130,7.5852,-16.78697,15.55,False,15.46,0.56
2MASS_J00341272-4116243,8.518369999999999,-41.272079999999995,12.97,False,12.88,0.86
2MASS_J00565461-4452110,14.19106,-44.8506,13.32,True,13.2,0.97
2MASS_J01021713+0944098,15.5713,9.736,0.00,True,14.72,0.69
2MASS_J01123146-7506179,18.13071,-75.10497,14.74,False,15.75,0.7
2MASS_J01213367+5155520,20.3905,51.93105,0.00,True,15.11,1.43
2MASS_J01215268-3915443,20.46959,-39.2623,15.20,False,16.35,0.75
2MASS_J01282987+5712494,22.12456,57.21371,0.00,True,14.36,0.83
2MASS_J01283059+6306298,22.12735,63.1083,0.00,True,12.62,1.19
2MASS_J01302573-2128389,22.60726,-21.47747,14.16,False,15.9,0.86
2MASS_J01462656+4606181,26.61052,46.10497,0.00,True,13.97,0.98
2MASS_J01564603-4744174,29.19179,-47.73814,15.35,False,14.97,1.25
2MASS_J02061590-0957174,31.566259999999996,-9.95485,0.00,False,15.25,1.42
2MASS_J02100260+2517251,32.51062,25.29046,14.88,False,14.3,0.77
2MASS_J02135882-6951360,33.49958,-69.85833000000001,0.00,False,17.19,0.8
2MASS_J02140989-4732357,33.54092,-47.54311,15.76,False,15.99,0.96
2MASS_J02212698+2514338,35.36235,25.24268,14.16,False,14.44,0.75
2MASS_J02334098+0656114,38.42082,6.93641,15.55,False,17.14,0.79
2MASS_J03081686-2851054,47.07022,-28.85143,15.59,False,16.0,0.95
2MASS_J03081972-2849480,47.07022,-28.85143,15.59,False,16.0,0.95
2MASS_J03453818-3256462,56.37398,-32.93537,14.55,False,13.19,1.13
2MASS_J03485302-0824226,57.19015,-8.406930000000001,13.64,False,14.12,0.69
2MASS_J03572609-0317596,59.35876,-3.29986,0.00,False,17.27,0.88
2MASS_J03573680-4625481,59.36965,-46.42868,12.65,False,14.39,0.66
2MASS_J04043278-1719215,61.10702,-17.30745,13.74,False,14.35,1.0
2MASS_J04180997+3411348,64.54146,34.19303,0.00,True,13.84,1.06
2MASS_J04372712-7148382,69.26824,-71.8056,0.00,True,13.04,0.84
2MASS_J04472149-2539302,71.8394,-25.65849,14.52,False,15.35,0.85
2MASS_J05065014+0323587,76.70895,3.39966,0.00,False,15.46,0.69
2MASS_J05112936-6806177,77.87323,-68.10483,14.25,True,13.58,1.72
2MASS_J06080655-6032120,91.97953000000001,-60.53111,12.81,False,12.72,0.66
2MASS_J06085784-5457364,92.20441,-54.94525,12.34,False,12.54,0.83
2MASS_J06262650-1710467,96.6095,-17.17961,16.19,False,17.07,0.93
2MASS_J06263670-4258059,96.65293,-42.96835,15.48,False,15.74,0.64
2MASS_J07134456+2540185,108.40299999999999,25.67136,0.00,True,14.98,2.38
2MASS_J07443960-6919537,116.08498,-69.31866,0.00,True,13.03,0.79
2MASS_J07462703-0225492,116.6126,-2.43038,14.30,False,15.65,0.81
2MASS_J07472476-4926332,116.85308,-49.44253,14.44,False,15.67,0.87
2MASS_J09062950-1706417,136.59045,-17.10677,14.26,True,14.52,0.87
2MASS_J09321059-8534261,142.6357,-85.56658,12.68,False,13.19,0.86
